joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-11.4718,-24.4175,2.36831,0.72,10.2092,-21.2841,0.587329,0.27,-4.84697,-9.94206,1.49038,-0.045,4.25856,-9.92729,-0.835874,0,-10.83,-22.47,1.71,0.74163,9.57,-19.77,0.09,0.13827,-4.53,-8.88,0.93,-0.02514,3.9,-8.76,-0.78,0,0.2465,0.9224,0.0385,-0.2544,0.9026,0.0443,0.2584,0.8806,0.043,-0.1901,0.9426,0.043,0.22738,0.881104,0.0427472,-0.237535,0.864877,0.0458789,0.249872,0.861555,0.045784,-0.182777,0.92343,0.0430319,-0.16,-0.06,0.01,0,0,0,0,0,
-12.5056,-25.6945,1.1299,0.72,12.8051,-23.1249,1.58903,0.405,-5.33687,-9.56734,0.977389,0,4.25134,-11.2781,-0.680177,0,-11.73,-23.97,0.84,0.65364,11.82,-21.3,1.02,0.36453,-4.89,-8.37,0.69,-0.01257,3.96,-9.81,-1.02,0.02514,0.2468,0.9177,0.0423,-0.2565,0.8972,0.0457,0.2576,0.8722,0.0458,-0.1892,0.936,0.0465,0.226182,0.873301,0.0456832,-0.236283,0.857159,0.0487984,0.248555,0.853854,0.048704,-0.181814,0.915403,0.0459664,-0.16,-0.09,-0,0,0,0,0,0,
-13.5993,-28.1416,1.31649,0.945,14.351,-25.6707,2.03573,0.72,-4.31177,-10.1826,1.46939,0,4.30413,-11.054,-1.21448,0.045,-12.84,-26.22,0.81,0.98046,13.59,-23.73,1.47,0.72906,-4.08,-9,0.9,-0.01257,3.9,-9.75,-1.23,0,0.2475,0.9136,0.0456,-0.2588,0.8929,0.0478,0.2554,0.8653,0.0488,-0.1881,0.9282,0.0498,0.224984,0.865497,0.0486192,-0.235032,0.849441,0.0517179,0.247239,0.846154,0.051624,-0.180851,0.907377,0.0489009,-0.21,-0.16,-0,-0.01,0,0,0,0,
-14.5132,-29.1637,0.198104,1.125,15.4319,-26.7915,1.53743,0.81,-3.97667,-9.64296,1.34638,0,4.41694,-11.4748,-0.983772,-0.045,-13.74,-27.21,0.06,1.0056,14.64,-25.17,1.26,0.74163,-3.6,-8.55,0.93,-0.01257,4.11,-10.17,-1.29,-0.01257,0.2479,0.9075,0.0498,-0.2592,0.8884,0.0505,0.253,0.857,0.0514,-0.1877,0.9205,0.0528,0.223786,0.857694,0.0515552,-0.23378,0.841723,0.0546374,0.245922,0.838453,0.054544,-0.179888,0.89935,0.0518354,-0.25,-0.18,-0,0.01,0,0,0,0,
-15.3969,-30.6058,1.52471,1.035,16.1828,-29.1123,0.499129,0.855,-4.28657,-9.01322,-0.201613,0,3.56976,-11.0709,-1.27807,-0.315,-14.64,-28.95,1.02,1.08102,15.45,-27.09,0.03,0.86733,-3.84,-8.07,-0.39,-0.01257,3.3,-9.84,-1.35,-0.28911,0.2481,0.9027,0.0518,-0.2595,0.8835,0.0556,0.2519,0.8487,0.0566,-0.1854,0.9124,0.0557,0.222588,0.84989,0.0544912,-0.232529,0.834005,0.0575569,0.244606,0.830753,0.057464,-0.178925,0.891324,0.0547699,-0.23,-0.19,-0,0.07,0,0,0,0,
-16.5658,-33.8779,1.68131,1.17,17.0387,-30.5481,-0.419166,0.945,-4.65647,-8.62354,1.2804,0,3.18754,-11.4767,-2.24737,0,-15.81,-31.53,1.29,1.19415,16.23,-28.62,-0.57,0.82962,-4.17,-7.38,0.78,-0.01257,2.94,-10.11,-2.52,0.01257,0.249,0.899,0.0538,-0.2596,0.8784,0.0599,0.2512,0.8396,0.0578,-0.1838,0.9046,0.0604,0.22139,0.842087,0.0574272,-0.231277,0.826287,0.0604764,0.243289,0.823052,0.060384,-0.177962,0.883297,0.0577044,-0.26,-0.21,-0,0,0,0,0,0,
-17.3896,-34.345,1.1929,1.125,17.7446,-35.0589,1.19753,0.99,-3.40638,-8.92387,0.0923957,-0.135,3.63036,-10.9675,-2.94666,-0.405,-16.56,-32.46,0.9,1.05588,17.01,-32.91,0.48,1.0056,-3.24,-7.89,-0,-0.07542,3.12,-9.75,-3.09,-0.31425,0.2491,0.8934,0.0571,-0.2596,0.8773,0.0614,0.2487,0.8327,0.0618,-0.1829,0.8961,0.0645,0.220192,0.834283,0.0603632,-0.230026,0.818569,0.0633959,0.241973,0.815352,0.063304,-0.176999,0.875271,0.0606389,-0.25,-0.22,0.03,0.09,0,0,0,0,
-18.0634,-35.7721,-0.105482,1.125,18.8105,-34.7398,1.25425,1.125,-3.05628,-8.32414,-0.465599,-0.27,3.42816,-12.3935,-3.22596,-0.765,-17.34,-33.87,-0.24,1.14387,17.91,-33.15,0.81,1.18158,-2.73,-7.05,-0.6,-0.26397,3.15,-11.01,-3.24,-0.67878,0.2491,0.8879,0.0622,-0.2599,0.8713,0.0634,0.2462,0.8237,0.0661,-0.1822,0.8897,0.0679,0.218994,0.82648,0.0632992,-0.228774,0.810851,0.0663154,0.240656,0.807651,0.066224,-0.176036,0.867244,0.0635734,-0.25,-0.25,0.06,0.17,0,0,0,0,
-18.7822,-38.2492,-1.41889,1.08,19.4264,-36.0556,-1.08905,0.585,-2.94618,-9.20949,-1.5186,-0.27,3.55595,-11.2994,-3.44526,-1.35,-18,-35.85,-1.56,1.03074,18.57,-34.11,-1.23,0.56565,-2.61,-8.07,-1.56,-0.27654,3.15,-10.2,-3.57,-1.24443,0.2491,0.8831,0.0677,-0.2599,0.8651,0.0694,0.2447,0.8174,0.0704,-0.181,0.8809,0.0712,0.217796,0.818676,0.0662352,-0.227523,0.803133,0.0692349,0.23934,0.799951,0.069144,-0.175073,0.859217,0.0665079,-0.24,-0.13,0.06,0.3,0,0,0,0,
-19.501,-38.0114,-2.13227,-0.045,20.0723,-38.1963,-1.61736,0.45,-3.30109,-9.07481,-1.71659,-0.63,3.92377,-12.1104,-2.53956,-1.35,-18.69,-36.24,-2.07,-0.06285,19.2,-35.88,-1.8,0.42738,-3,-7.89,-1.89,-0.55308,3.57,-10.77,-2.94,-1.29471,0.2491,0.8764,0.0713,-0.2598,0.8596,0.0738,0.2439,0.8097,0.0741,-0.1808,0.8734,0.0736,0.216598,0.810873,0.0691712,-0.226271,0.795415,0.0721544,0.238023,0.79225,0.072064,-0.17411,0.851191,0.0694424,0.01,-0.1,0.14,0.3,0,0,0,0,
