joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-18.6029,0.48763,23.75,-1.10689,10.9721,3.93779,15.3633,0.0858482,-15.1169,-3.84036,7.83978,-1.78587,21.0741,1.58638,28.3114,0.043009,-17.5252,2.46362,23.2184,-0.68793,11.432,3.29598,16.1987,-0.0887591,-14.4464,-3.24158,10.3594,-1.83736,19.0573,1.94004,27.5321,0.0621194,0.079179,-0.642088,0.638815,-0.0684704,-0.613298,0.635492,0.0815719,-0.637414,0.663356,-0.0626327,-0.61352,0.652574,-0.386525,-0.629887,1.23559,0.205417,-0.514789,1.02208,-0.296954,-0.734263,0.86293,0.464081,-0.574185,1.36347,-0.131861,0.0003321,-0.0813838,-0.000288324,-2.34564,0.172028,-3.65312,0.0857297,
-19.4889,-1.65135,24.3153,-1.51878,10.4702,4.55019,14.5976,0.31852,-15.7227,-4.30251,5.23984,-1.75503,23.198,1.57902,29.2722,0.131071,-18.5622,0.441245,23.6588,-1.09274,11.0116,3.88034,15.3291,0.0861845,-15.0786,-3.82595,7.71542,-1.79109,21.1001,1.56094,28.2233,0.0428979,0.0782228,-0.64142,0.641716,-0.0692462,-0.612649,0.637723,0.08079,-0.638227,0.667729,-0.0630444,-0.613509,0.655927,-0.409846,-0.681359,1.25003,0.191855,-0.497975,1.00381,-0.312822,-0.745933,0.801797,0.51652,-0.573736,1.38975,-0.0503066,-0.000481544,-0.000851805,-0.000358077,-3.08787,0.636559,-3.51092,0.261784,
-20.1616,-3.77671,25.3669,-1.88927,10.0314,4.95174,14.1023,0.538162,-16.1912,-4.64167,3.38668,-1.62474,25.0375,1.65782,30.4804,0.284625,-19.4375,-1.80677,24.3631,-1.47932,10.525,4.36733,14.6798,0.318361,-15.6611,-4.39342,5.21332,-1.72548,23.2321,1.4724,29.2505,0.131166,0.0767254,-0.638281,0.642027,-0.0706607,-0.609272,0.637756,0.0794128,-0.637294,0.670783,-0.0639081,-0.611793,0.658223,-0.427819,-0.731185,1.2767,0.179501,-0.483257,0.989266,-0.325774,-0.752357,0.755627,0.561637,-0.568995,1.4205,0.050957,-0.000350073,-0.00110134,-0.000297967,-3.72759,1.07597,-3.25058,0.568953,
-20.6206,-5.89893,26.4929,-2.06493,9.66345,5.26607,13.845,0.743511,-16.4882,-5.05468,2.01335,-1.42602,26.2594,1.85666,31.7289,0.491471,-20.1425,-4.01897,25.683,-1.80152,10.0626,4.74927,14.2702,0.538434,-16.1684,-4.78414,3.49117,-1.64694,25.0547,1.50829,30.556,0.284506,0.0760021,-0.63336,0.638592,-0.0715985,-0.604905,0.634797,0.0786011,-0.63461,0.669858,-0.0644664,-0.608767,0.657543,-0.439872,-0.776893,1.29923,0.169504,-0.470191,0.978483,-0.334138,-0.758789,0.719004,0.591743,-0.56022,1.44973,0.0177765,-0.00111838,-0.00561231,-0.000430247,-4.11209,1.4859,-2.85765,0.982512,
-20.7274,-7.29395,28.1638,-1.98998,9.30502,5.59138,13.8784,0.962072,-16.7112,-5.11037,1.59632,-1.22338,27.1186,2.10489,33.1513,0.802391,-20.6131,-6.05911,26.7052,-2.07358,9.68559,5.07416,14.0141,0.742751,-16.4732,-5.20249,2.17528,-1.42884,26.2736,1.71991,31.8416,0.491458,0.0756837,-0.628617,0.633998,-0.0721955,-0.600487,0.631244,0.0781922,-0.631442,0.667253,-0.0648243,-0.605754,0.655547,-0.442665,-0.806354,1.33284,0.159967,-0.457107,0.974959,-0.33971,-0.756571,0.704751,0.612864,-0.550434,1.48239,-0.137739,0.000147521,0.0767107,-0.000328704,-4.1177,1.92429,-2.37005,1.60445,
-20.6754,-8.56833,28.752,-2.00186,9.10382,5.35531,14.4335,1.08153,-16.5458,-5.46694,1.48255,-0.959393,27.0595,2.20012,34.2665,1.06343,-20.7179,-7.54215,28.4744,-1.98782,9.33719,5.33054,14.1501,0.962402,-16.6862,-5.33732,1.86294,-1.23089,27.1452,1.88153,33.34,0.802405,0.0754029,-0.621446,0.626946,-0.0730027,-0.594211,0.624983,0.0775882,-0.626335,0.661891,-0.0653933,-0.600602,0.651569,-0.441644,-0.830484,1.3425,0.154107,-0.456314,0.981845,-0.336615,-0.759463,0.695417,0.610697,-0.542369,1.5054,0.0533455,-0.000792688,0.000181088,-0.000161006,-3.95038,2.16227,-1.91861,2.1267,
-20.2608,-9.18484,30.2091,-1.71837,8.99089,4.94185,15.2881,1.16551,-16.2279,-5.47211,2.46473,-0.747775,26.6487,2.15266,35.2185,1.36987,-20.6665,-8.79923,29.1006,-2.06355,9.13829,5.07565,14.7119,1.08146,-16.5326,-5.72349,1.79076,-1.0159,27.0948,1.97151,34.4907,1.06349,0.0751624,-0.613977,0.618381,-0.0738533,-0.587173,0.618179,0.0769124,-0.620096,0.655023,-0.0661795,-0.594954,0.646268,-0.431489,-0.838569,1.36694,0.150392,-0.4595,0.996096,-0.329419,-0.753235,0.712447,0.599532,-0.537744,1.52348,-0.0265669,-0.000919209,0.000670341,-0.000185529,-3.4633,2.3301,-1.49488,2.73956,
-19.6587,-9.16553,31.0368,-1.60854,8.92682,4.02307,16.4806,1.12676,-15.6313,-5.62951,3.75154,-0.636734,25.4651,2.07851,35.485,1.62266,-20.2558,-9.3849,30.4151,-1.73168,9.02182,4.68892,15.5663,1.1649,-16.211,-5.71999,2.7541,-0.83128,26.6865,1.94899,35.4262,1.3698,0.0749909,-0.60704,0.609755,-0.0746988,-0.580436,0.610892,0.076134,-0.613841,0.647688,-0.0670795,-0.589509,0.640845,-0.41655,-0.831449,1.37903,0.147992,-0.476006,1.01877,-0.315333,-0.751071,0.73675,0.568962,-0.534347,1.52485,0.25046,5.36945e-05,0.0543531,-0.00038313,-2.96661,2.25357,-1.21911,3.24493,
-18.8218,-8.84784,31.4596,-1.20774,9.00191,3.21589,17.6447,1.09144,-14.8588,-5.53889,5.60877,-0.553132,23.9772,2.07904,35.2003,1.87394,-19.6514,-9.3321,31.1916,-1.4833,8.95871,3.81155,16.7054,1.12682,-15.6043,-5.82484,4.0171,-0.736809,25.5138,1.90342,35.6525,1.62268,0.0748308,-0.600736,0.601789,-0.0755085,-0.574442,0.604484,0.0752156,-0.608304,0.640236,-0.0681992,-0.584489,0.636026,-0.395851,-0.817697,1.38222,0.149049,-0.490788,1.0421,-0.29705,-0.744128,0.776925,0.530515,-0.529911,1.51348,0.260486,-0.000268071,0.143508,-0.00023328,-2.15499,2.18262,-0.962757,3.74765,
-17.8421,-7.69543,31.468,-0.716313,9.12954,1.91279,18.8998,0.944438,-13.9215,-5.44225,7.84289,-0.650118,22.0525,2.02647,34.0623,2.02267,-18.816,-9.02812,31.5456,-1.21257,9.02805,3.05812,17.7997,1.09137,-14.8338,-5.68628,5.85053,-0.65341,24.0266,1.9563,35.3083,1.87398,0.0746779,-0.595413,0.595185,-0.0762324,-0.569572,0.599497,0.0743569,-0.604033,0.633924,-0.0694325,-0.580617,0.632383,-0.371478,-0.785821,1.3768,0.151591,-0.519348,1.06952,-0.274245,-0.737974,0.826615,0.481104,-0.528088,1.48228,2.30738e-05,-0.000315643,0.347921,1.73963e-05,-1.4326,1.88856,-0.952316,4.04536,
