obs_angvel_0,obs_angvel_1,obs_angvel_2,obs_gravity_0,obs_gravity_1,obs_gravity_2,obs_command_0,obs_command_1,obs_command_2,obs_dofpos_0,obs_dofpos_1,obs_dofpos_2,obs_dofpos_3,obs_dofpos_4,obs_dofpos_5,obs_dofpos_6,obs_dofpos_7,obs_dofpos_8,obs_dofpos_9,obs_dofpos_10,obs_dofpos_11,obs_dofpos_12,obs_dofpos_13,obs_dofpos_14,obs_dofpos_15,obs_dofvel_0,obs_dofvel_1,obs_dofvel_2,obs_dofvel_3,obs_dofvel_4,obs_dofvel_5,obs_dofvel_6,obs_dofvel_7,obs_dofvel_8,obs_dofvel_9,obs_dofvel_10,obs_dofvel_11,obs_dofvel_12,obs_dofvel_13,obs_dofvel_14,obs_dofvel_15,obs_action_0,obs_action_1,obs_action_2,obs_action_3,obs_action_4,obs_action_5,obs_action_6,obs_action_7,obs_action_8,obs_action_9,obs_action_10,obs_action_11,obs_action_12,obs_action_13,obs_action_14,obs_action_15,
0.0353143,0.0397949,0.0172397,0,0,-1,-0,-0,-0,0.0797049,-0.641839,0.636027,-1.01994,-0.0681513,-0.613149,0.633035,8.07336,0.0819866,-0.636419,0.659891,-8.43447,-0.0625444,-0.61311,0.649853,-2.09215,-0.0490373,-0.0525346,0.318805,-0.113684,-0.0280865,-0.0368564,0.27133,-0.000163936,-0.0453073,-0.105895,0.347263,-0.0807169,-0.00481062,-0.0558829,0.297208,-7.7295e-05,-0.719075,0.0389418,1.24447,-0.301429,0.433823,0.138268,0.88582,-0.0353978,-0.55986,-0.239258,0.653176,-0.735041,0.827316,0.0692671,1.4878,0.0248484,
0.0332126,0.0550292,0.0143448,0,0,-1,-0,-0,-0,0.078539,-0.641796,0.641029,-1.02253,-0.0689882,-0.612968,0.637188,8.07335,0.081058,-0.638079,0.666588,-8.43529,-0.062894,-0.613602,0.655063,-2.09216,-0.068336,0.0215603,0.233809,-0.165704,-0.0502873,0.0525005,0.127098,-0.000303245,-0.0420842,-0.0225132,0.264761,0.000208727,-0.0280861,0.00874007,0.187846,-0.00032466,-0.77305,-0.0597731,1.27119,-0.469128,0.410833,0.170423,0.844151,0.0344057,-0.593907,-0.268525,0.52586,-0.730623,0.928162,0.0516304,1.52693,0.0171459,
0.0186647,0.0569816,0.0124568,0,0,-1,-0,-0,-0,0.0772207,-0.639804,0.642479,-1.02426,-0.0701092,-0.61094,0.63829,8.07335,0.0798959,-0.638002,0.670124,-8.43596,-0.0635836,-0.612713,0.657734,-2.09216,-0.0539369,0.129238,-0.00917597,-0.0367617,-0.0535636,0.137782,-0.0153925,-0.000748198,-0.0385936,0.0355915,0.0841885,-0.00109759,-0.0332023,0.0762377,0.0751642,-0.00033787,-0.819692,-0.162717,1.30005,-0.617574,0.383711,0.204049,0.807628,0.127312,-0.625644,-0.291866,0.403593,-0.702183,1.03304,0.0525274,1.5795,0.0523568,
-0.00347689,0.047137,0.01059,0,0,-1,-0,-0,-0,0.0763025,-0.636106,0.640583,-1.02517,-0.0711602,-0.607205,0.636635,8.07334,0.0789675,-0.636108,0.670694,-8.43645,-0.0642232,-0.610421,0.658137,-2.09217,-0.0393225,0.269827,-0.0697057,0.0170855,-0.0449571,0.213578,-0.138207,-0.000431735,-0.0524141,0.139889,-0.0589017,-0.0274356,-0.0270058,0.142918,-0.0345147,-0.000207799,-0.855638,-0.262369,1.35341,-0.745517,0.359002,0.233486,0.778533,0.215195,-0.651547,-0.304713,0.311253,-0.650116,1.12327,0.0620096,1.641,0.113791,
-0.0202917,0.0379557,0.00754832,0,0,-1,-0,-0,-0,0.0757756,-0.630363,0.635521,-1.02634,-0.0719917,-0.601899,0.6325,8.07334,0.0783204,-0.632497,0.668305,-8.43601,-0.0647129,-0.606798,0.65628,-2.09217,-0.0210246,0.25551,-0.395333,-0.137605,-0.0370452,0.275439,-0.238936,-0.000232018,-0.011139,0.193076,-0.188942,0.0731181,-0.0218278,0.203085,-0.134099,-0.000259881,-0.879744,-0.353785,1.39847,-0.822418,0.339009,0.259618,0.756966,0.297181,-0.668276,-0.317579,0.238008,-0.57153,1.18349,0.0795592,1.69946,0.196502,
-0.0210508,0.0295663,0.00279414,0,0,-1,-0,-0,-0,0.0754635,-0.623232,0.628789,-1.0273,-0.0727897,-0.595801,0.626541,8.07333,0.0777323,-0.627687,0.663335,-8.43513,-0.0652392,-0.601884,0.652666,-2.09218,-0.0142571,0.404289,-0.24662,0.0527991,-0.0384638,0.314375,-0.306181,0.000653847,-0.0443626,0.27178,-0.265793,0.000941651,-0.0301678,0.250027,-0.211927,-5.44321e-05,-0.88533,-0.412709,1.46567,-0.823541,0.319934,0.285786,0.749918,0.384858,-0.67942,-0.313142,0.209502,-0.47401,1.22573,0.0991321,1.76478,0.320891,
-0.02102,0.0239466,-0.00190132,0,0,-1,-0,-0,-0,0.075219,-0.615726,0.620431,-1.02753,-0.073624,-0.588823,0.619885,8.07332,0.0770844,-0.621594,0.656752,-8.43405,-0.065979,-0.596453,0.647561,-2.09219,-0.0106139,0.406155,-0.524764,-0.054094,-0.0410553,0.329471,-0.337223,0.000574894,-0.0495662,0.288887,-0.326063,0.112332,-0.038847,0.273869,-0.254742,-0.000243993,-0.883288,-0.460969,1.485,-0.790076,0.308213,0.287372,0.763691,0.432453,-0.673229,-0.318925,0.190834,-0.383721,1.22139,0.115263,1.8108,0.425339,
-0.0230857,0.0182121,-0.00801277,0,0,-1,-0,-0,-0,0.0750253,-0.608651,0.611784,-1.02526,-0.0744855,-0.581994,0.612553,8.07332,0.0763568,-0.615444,0.649489,-8.43256,-0.0668492,-0.590797,0.642237,-2.09219,-0.00695651,0.382482,-0.535237,0.248961,-0.0391842,0.314967,-0.335655,-0.000628688,-0.0233933,0.30397,-0.375624,0.152477,-0.0458033,0.262589,-0.256608,-6.61099e-05,-0.862979,-0.477138,1.53388,-0.692659,0.300784,0.281001,0.792193,0.466019,-0.658837,-0.30647,0.224893,-0.298976,1.19906,0.124512,1.84696,0.547913,
-0.0224901,0.0118657,-0.0144875,0,0,-1,-0,-0,-0,0.0748755,-0.602157,0.603585,-1.0227,-0.0753143,-0.575775,0.605907,8.07331,0.0754496,-0.609502,0.641881,-8.42947,-0.0679181,-0.585567,0.637192,-2.0922,-0.0081694,0.349866,-0.497212,-7.90707e-05,-0.0372991,0.273501,-0.291935,2.45649e-05,-0.0330544,0.248645,-0.331146,0.231115,-0.0527877,0.222886,-0.21985,-0.000221856,-0.8331,-0.462898,1.55805,-0.593323,0.295984,0.247988,0.837542,0.450713,-0.630665,-0.302142,0.273501,-0.243823,1.13792,0.131306,1.84969,0.648987,
-0.0219713,0.00549579,-0.0206588,0,0,-1,-0,-0,-0,0.0747318,-0.596772,0.596602,-1.01978,-0.0760612,-0.570781,0.600528,8.07331,0.0745812,-0.604918,0.635309,-8.42391,-0.0690713,-0.581479,0.633162,-2.0922,-0.00707263,0.17616,-0.42615,0.269505,-0.0335579,0.21228,-0.217509,-0.000467522,-0.0423839,0.185811,-0.284842,0.324978,-0.0601679,0.165444,-0.15242,-0.000354462,-0.791702,-0.435393,1.56444,-0.430998,0.298097,0.218423,0.884207,0.436524,-0.5941,-0.288256,0.35385,-0.192551,1.06103,0.140178,1.82696,0.749531,
