joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-9.29204,15.3269,35.818,1.82924,12.6215,11.9712,33.8959,0.309909,2.38129,-14.8411,-35.536,-1.98729,-5.00082,-13.1787,-25.0515,-1.8401,-9.0725,15.7228,37.0562,1.81349,13.081,11.2822,34.4737,0.200975,2.16153,-15.7062,-36.9258,-1.99468,-4.97037,-13.4774,-25.6423,-1.92928,0.0248745,0.769802,-1.64259,0.029756,0.7532,-1.63005,0.0206137,-0.783392,1.61538,0.0252839,-0.777876,1.59903,-0.0473778,0.89965,-1.33284,0.139939,0.853687,-1.33778,0.0436779,-0.91526,1.30111,-0.0132047,-0.895912,1.37109,-2.01778,-1.87407,2.00744,1.93347,-0.188545,-1.56416,0.0201444,0.0933753,
-9.54487,14.5457,33.86,1.96068,12.2927,12.1835,33.21,0.570204,2.61856,-13.597,-33.7144,-1.96185,-5.02018,-12.4784,-24.5851,-1.75269,-9.26238,15.1446,35.2955,1.94361,12.6493,11.6589,33.5955,0.469917,2.42012,-14.5984,-35.1646,-1.97233,-4.96152,-12.85,-24.8287,-1.81363,0.0261456,0.77052,-1.63912,0.0309207,0.753728,-1.62737,0.0213364,-0.785624,1.61062,0.0260413,-0.780175,1.59383,-0.049745,0.894781,-1.34454,0.136954,0.858242,-1.34083,0.0453116,-0.907058,1.31302,-0.0137128,-0.892825,1.37264,-2.13911,-2.04424,1.992,1.91451,-0.178428,-1.47404,0.0301463,0.161815,
-9.85411,13.6148,31.9991,2.07362,12.1027,12.0094,32.7409,0.774109,2.84544,-12.161,-32.173,-1.89161,-4.93424,-11.6673,-24.6873,-1.69191,-9.48247,14.3199,33.3334,2.05755,12.3525,11.7703,32.9729,0.690686,2.67535,-13.2786,-33.5283,-1.899,-4.96843,-12.1182,-24.4422,-1.73385,0.0269842,0.771566,-1.63538,0.0317507,0.755003,-1.62467,0.0218078,-0.788013,1.60611,0.0265004,-0.782785,1.58954,-0.0528845,0.889045,-1.35541,0.134828,0.860448,-1.34262,0.0467026,-0.897725,1.32387,-0.013462,-0.889283,1.37059,-2.2415,-2.17179,1.93149,1.89416,-0.167881,-1.39768,0.0398867,0.202244,
-10.082,12.7828,30.9347,1.90091,12.1768,11.6142,32.5012,0.950306,2.74371,-10.9088,-31.3131,-1.77325,-4.70076,-10.6502,-25.135,-1.63657,-9.77547,13.4431,31.6604,1.92225,12.1806,11.5359,32.442,0.89059,2.89371,-11.9278,-31.9261,-1.78777,-4.88345,-11.275,-24.6736,-1.6601,0.0274737,0.772976,-1.63164,0.0322128,0.757018,-1.62186,0.0220444,-0.790509,1.60202,0.0267275,-0.785594,1.58619,-0.0555188,0.883939,-1.36204,0.134753,0.861341,-1.34197,0.0454235,-0.889361,1.32889,-0.0119704,-0.884278,1.36675,-2.05901,-2.29541,1.82206,1.86059,-0.158107,-1.3451,0.0488093,0.224026,
-10.315,12.3389,29.8488,1.74397,12.1001,11.0075,32.1552,1.10693,2.74442,-9.80695,-30.7827,-1.65568,-4.56151,-9.6812,-25.6344,-1.58951,-10.0175,12.7019,30.6075,1.74464,12.247,11.1904,32.2434,1.05771,2.77481,-10.7228,-31.1951,-1.66853,-4.67043,-10.3028,-25.1662,-1.5882,0.0276405,0.774085,-1.6285,0.0323929,0.759183,-1.61954,0.0221278,-0.792505,1.59914,0.0268044,-0.788366,1.58384,-0.0580322,0.880957,-1.36816,0.133494,0.860081,-1.34255,0.045157,-0.88185,1.33227,-0.0110763,-0.879292,1.36289,-1.89445,-2.4092,1.71089,1.80959,-0.15048,-1.30228,0.0552139,0.220083,
-10.4689,11.787,28.7502,1.63206,11.9419,10.2514,31.6795,1.24516,2.78431,-8.46297,-30.3,-1.51241,-4.47045,-8.46916,-25.9802,-1.51555,-10.2598,12.2253,29.4975,1.62883,12.1554,10.5052,31.8617,1.18707,2.77144,-9.59702,-30.7292,-1.52706,-4.53417,-9.32933,-25.7031,-1.5281,0.0276402,0.775234,-1.62532,0.0323895,0.762099,-1.61691,0.0221367,-0.794679,1.59648,0.0268051,-0.791369,1.58208,-0.059801,0.877379,-1.37419,0.131688,0.858235,-1.34391,0.0452503,-0.872517,1.33585,-0.0105581,-0.872311,1.36063,-1.77375,-2.49469,1.57501,1.74467,-0.14169,-1.24953,0.0625958,0.229121,
-10.7334,11.0988,27.9515,1.5537,11.8605,9.4078,31.7444,1.14301,2.76099,-7.2546,-29.9147,-1.36688,-4.25666,-7.39053,-26.7387,-1.45053,-10.4227,11.6409,28.4391,1.55041,11.9912,9.79624,31.6242,1.12663,2.80264,-8.29187,-30.2926,-1.37991,-4.45372,-8.16725,-26.0705,-1.43712,0.027533,0.776336,-1.62221,0.0322761,0.765229,-1.61469,0.0220886,-0.796624,1.59453,0.0267553,-0.794193,1.581,-0.0624111,0.872954,-1.3781,0.130572,0.855276,-1.3431,0.0448954,-0.86397,1.339,-0.00892174,-0.866009,1.35512,-1.68771,-2.35449,1.43484,1.66141,-0.134012,-1.21148,0.0679536,0.210879,
-11.1907,10.2838,27.0811,1.48537,11.7091,9.15664,31.7899,0.962127,2.50038,-6.02683,-29.5024,-1.20934,-3.94073,-6.82019,-28.4337,-1.22696,-10.7192,10.9194,27.651,1.48099,11.8721,9.13818,31.5419,0.940494,2.74051,-7.09668,-29.9516,-1.22549,-4.2714,-7.1672,-26.9707,-1.22415,0.0273896,0.777589,-1.61903,0.0321289,0.768362,-1.61277,0.0220552,-0.798548,1.59308,0.0267192,-0.796939,1.58055,-0.0663391,0.86776,-1.3827,0.129215,0.855565,-1.34089,0.0429138,-0.855145,1.34277,-0.00614268,-0.863122,1.34292,-1.61083,-2.14142,1.28515,1.41873,-0.125463,-1.17929,0.0758073,0.191772,
-11.3824,9.58536,26.3628,1.41233,11.4189,9.03838,31.4929,0.830998,2.22742,-5.0652,-29.2957,-1.03483,-3.851,-6.74056,-29.47,-0.901745,-11.1927,10.1084,26.8426,1.40811,11.7073,8.8948,31.5406,0.817199,2.46552,-5.90915,-29.5597,-1.05212,-3.97939,-6.76519,-28.5742,-0.927592,0.0272698,0.778859,-1.61621,0.0320063,0.771415,-1.61082,0.0220994,-0.800203,1.59203,0.0267627,-0.799339,1.5805,-0.0679146,0.863507,-1.38658,0.126815,0.856907,-1.34116,0.0409524,-0.848183,1.34501,-0.00505105,-0.86289,1.33545,-1.52956,-1.98908,1.11943,1.10304,-0.117228,-1.15808,0.0845939,0.201297,
-11.3546,9.10339,26.0354,1.3558,11.1964,8.74398,31.1457,0.761302,2.1204,-4.4351,-29.3462,-0.905724,-3.87217,-6.72419,-29.7255,-0.694084,-11.3694,9.44276,26.2119,1.35505,11.4309,8.81917,31.3203,0.763965,2.21633,-4.986,-29.3405,-0.919456,-3.86256,-6.75345,-29.509,-0.711266,0.0271915,0.779948,-1.61424,0.0319315,0.773647,-1.60921,0.0221689,-0.801428,1.5915,0.0268306,-0.800785,1.58063,-0.0678017,0.860784,-1.38794,0.12485,0.856439,-1.3425,0.040159,-0.843646,1.345,-0.00512582,-0.862643,1.33368,-1.46797,-1.91702,0.995173,0.898116,-0.112161,-1.15572,0.0894493,0.204032,
-11.3136,8.45475,25.6639,1.28533,11.0273,8.20432,30.9228,0.68745,2.01967,-3.75444,-29.412,-0.753011,-3.82174,-6.80142,-30.1208,-0.49029,-11.3092,8.9108,25.8458,1.28513,11.2465,8.42429,30.9567,0.694407,2.13831,-4.34986,-29.409,-0.76452,-3.85479,-6.71974,-29.7995,-0.505986,0.0270516,0.781431,-1.61166,0.0317692,0.776527,-1.60717,0.0222294,-0.80278,1.59109,0.0268866,-0.802174,1.5809,-0.0678647,0.857093,-1.38937,0.122997,0.854779,-1.34269,0.0391605,-0.838733,1.34501,-0.00486129,-0.863329,1.33105,-1.39344,-1.84694,0.846337,0.699122,-0.108108,-1.15949,0.0933262,0.208832,
-11.1836,7.84739,25.4441,1.2191,10.9477,7.53755,30.8081,0.634502,1.93764,-3.28105,-29.466,-0.612314,-3.70209,-6.66935,-30.3542,-0.330202,-11.2421,8.27747,25.5116,1.21961,11.0956,7.89437,30.7767,0.639642,2.06309,-3.7019,-29.4351,-0.626497,-3.77778,-6.7788,-30.2009,-0.345817,0.0268045,0.782877,-1.60935,0.0315299,0.779242,-1.60538,0.0222035,-0.804031,1.59089,0.0268592,-0.803323,1.58129,-0.0674195,0.853613,-1.38986,0.121722,0.851978,-1.34235,0.0380958,-0.834886,1.34424,-0.00425928,-0.862436,1.32981,-1.32388,-1.79689,0.708283,0.54719,-0.104778,-1.16239,0.0959695,0.216988,
-10.9759,7.486,25.6438,1.1529,10.8619,6.83388,30.7235,0.597942,1.74182,-3.52479,-30.2043,-0.264934,-3.51047,-6.28742,-30.4392,-0.170064,-11.1123,7.67337,25.3274,1.15459,11.0233,7.21167,30.6835,0.593463,1.99076,-3.3524,-29.6499,-0.286305,-3.65133,-6.64136,-30.4171,-0.223095,0.0264772,0.784353,-1.60733,0.0311772,0.782133,-1.60373,0.0220759,-0.804883,1.59095,0.0267368,-0.804243,1.58174,-0.0663208,0.852151,-1.38717,0.120339,0.849005,-1.34196,0.0359949,-0.83625,1.33964,-0.00311233,-0.859505,1.32966,-1.2556,-1.75391,0.364564,0.434502,-0.102693,-1.15597,0.09963,0.264438,
-10.7023,7.17705,26.0075,1.09079,10.7467,6.07229,30.5344,0.553369,1.55462,-4.05705,-30.8255,0.0391582,-3.38032,-5.97574,-30.5275,-0.0393469,-10.8844,7.2943,25.5629,1.09273,10.9487,6.52444,30.6061,0.558575,1.80993,-3.69833,-30.2209,0.0203133,-3.44727,-6.26312,-30.4759,-0.0906946,0.0260081,0.786024,-1.60569,0.0307291,0.785003,-1.60214,0.0218307,-0.805145,1.59106,0.0265101,-0.804954,1.58216,-0.0648452,0.851271,-1.38344,0.118615,0.845401,-1.3425,0.0338377,-0.839148,1.33461,-0.00258422,-0.857124,1.32925,-1.19232,-1.71272,0.0640446,0.350505,-0.101524,-1.15935,0.103203,0.311158,
-10.4266,6.84114,26.3959,1.04085,10.6679,5.16114,30.3076,0.501238,1.37883,-4.61132,-31.3466,0.249075,-3.26754,-5.68534,-30.519,0.0642169,-10.6036,7.01356,25.9519,1.0426,10.8395,5.78133,30.4333,0.517032,1.62627,-4.21685,-30.8232,0.236249,-3.3066,-5.94694,-30.5425,0.0288161,0.0254673,0.787508,-1.60415,0.030221,0.787819,-1.60071,0.0215195,-0.804993,1.59115,0.0261872,-0.805585,1.58256,-0.0634169,0.849925,-1.3797,0.117137,0.840386,-1.3435,0.0317408,-0.842361,1.33024,-0.00229302,-0.854957,1.32945,-1.14164,-1.67462,-0.14344,0.279047,-0.100785,-1.17338,0.105635,0.343264,
-10.1859,6.51096,26.7948,1.00058,10.6373,4.32326,30.0991,0.443182,1.25899,-5.00987,-31.7505,0.358862,-3.16333,-5.43784,-30.3671,0.135532,-10.3336,6.68626,26.3695,1.00238,10.7661,4.93104,30.225,0.46143,1.45508,-4.71136,-31.3393,0.353017,-3.19194,-5.6585,-30.5065,0.109488,0.0249142,0.788976,-1.6031,0.0296336,0.790227,-1.59951,0.0211275,-0.80461,1.59122,0.0258009,-0.806091,1.58283,-0.0622374,0.848551,-1.37615,0.116013,0.835459,-1.3445,0.0300682,-0.844802,1.3268,-0.00209278,-0.853134,1.33059,-1.10107,-1.63278,-0.251883,0.230784,-0.100498,-1.1896,0.106979,0.366316,
-9.91311,6.24946,27.2772,0.969726,10.726,3.59571,30.0564,0.399403,1.03724,-5.02765,-32.2498,0.387857,-2.96706,-5.07345,-29.941,0.231604,-10.0842,6.36479,26.7851,0.967629,10.7386,4.10017,30.0237,0.400996,1.33583,-5.01668,-31.7862,0.388321,-3.08403,-5.40932,-30.3314,0.17446,0.0242552,0.790408,-1.60221,0.0289754,0.792683,-1.59842,0.0206637,-0.804222,1.59131,0.0253428,-0.806536,1.58299,-0.0608444,0.847383,-1.37158,0.115851,0.83138,-1.34419,0.0275338,-0.844856,1.32283,-0.00116641,-0.850348,1.33382,-1.0688,-1.58837,-0.277866,0.189638,-0.0990733,-1.18897,0.109991,0.421242,
-9.88682,5.89011,27.71,0.745338,10.8851,2.80191,30.1966,0.124449,1.10435,-5.30194,-32.1473,0.360348,-2.93092,-5.17176,-29.8877,0.172977,-9.80586,6.20426,27.3958,0.761047,10.8323,3.50029,30.0632,0.198222,1.11835,-5.03196,-32.2106,0.369171,-2.88477,-5.05047,-29.8887,0.263344,0.0235336,0.791623,-1.60168,0.028254,0.79492,-1.59761,0.0201437,-0.803913,1.59132,0.0248224,-0.80693,1.58301,-0.0615764,0.844746,-1.36898,0.116235,0.8256,-1.34307,0.0273757,-0.847107,1.32334,-0.00159273,-0.85137,1.3338,-0.848076,-1.37476,-0.257798,0.156105,-0.102738,-1.25031,0.10255,0.329082,
