joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-9.10758,4.00747,35.048,-2.14956,9.29407,3.65978,34.2082,-2.11163,-4.10415,-6.00462,-35.4397,2.07048,4.23091,-5.45439,-34.8901,2.0903,-9.05439,3.95807,35.0232,-2.15644,9.23977,3.61216,34.1913,-2.11227,-4.07954,-5.9537,-35.4214,2.08218,4.21249,-5.39729,-34.92,2.1063,0.145345,0.769354,-1.71532,-0.145897,0.77345,-1.71079,0.0650702,-0.759212,1.72269,-0.0652637,-0.766124,1.7201,0.1235,0.770078,-1.63533,-0.123781,0.773305,-1.6323,0.055178,-0.764989,1.64167,-0.05525,-0.769988,1.63963,1.07478,1.05582,-1.03524,-1.04515,0,0,0,0,
-9.37565,4.65084,35.0418,-2.04773,9.58462,4.17801,34.3204,-1.99964,-4.20332,-6.60265,-35.445,1.96601,4.38722,-5.9859,-34.9883,1.9914,-9.32921,4.60177,35.019,-2.0563,9.48308,4.28048,33.917,-1.9727,-4.19441,-6.55582,-35.4269,1.9754,4.34863,-5.94955,-34.965,1.99076,0.145464,0.768037,-1.71629,-0.146043,0.772139,-1.71167,0.0651149,-0.757912,1.72365,-0.065342,-0.764766,1.72097,0.12281,0.770164,-1.63497,-0.123089,0.773373,-1.63195,0.0548694,-0.765103,1.64127,-0.054941,-0.770075,1.63924,1.02387,0.999821,-0.983004,-0.995699,0,0,0,0,
-9.66813,5.30236,35.0366,-1.94924,9.81393,4.77221,33.9566,-1.85474,-4.33906,-7.21254,-35.4176,1.86325,4.50145,-6.58788,-34.9518,1.88015,-9.61772,5.25237,35.0184,-1.95419,9.75605,4.85174,33.9208,-1.86568,-4.31936,-7.16865,-35.4003,1.8682,4.4732,-6.54905,-34.9346,1.89323,0.14557,0.766603,-1.71708,-0.14617,0.770735,-1.71239,0.0651529,-0.756512,1.72448,-0.0654131,-0.763318,1.72169,0.122119,0.77025,-1.63461,-0.122396,0.77344,-1.63161,0.0545608,-0.765217,1.64088,-0.054632,-0.770161,1.63886,0.974621,0.927369,-0.931623,-0.940075,0,0,0,0,
-10.0004,5.89218,35.0065,-1.84281,10.1109,4.50708,34.617,-1.56101,-4.50862,-7.73962,-35.4231,1.7577,4.59355,-6.48734,-35.4052,1.65401,-9.93581,5.84712,34.9865,-1.84934,10.0658,4.49545,34.6055,-1.57474,-4.47672,-7.69456,-35.405,1.76223,4.58017,-6.48879,-35.4178,1.67061,0.145677,0.765254,-1.71776,-0.1463,0.769634,-1.71318,0.0651935,-0.755213,1.72509,-0.0654755,-0.762044,1.72233,0.121428,0.770335,-1.63425,-0.121704,0.773508,-1.63127,0.0542522,-0.765331,1.64048,-0.054323,-0.770247,1.63847,0.921406,0.780507,-0.878851,-0.827003,0,0,0,0,
-10.3351,6.14905,35.141,-1.67283,10.3071,4.66338,34.5961,-1.35682,-4.69349,-7.81576,-35.8747,1.60238,4.65575,-6.46504,-35.3172,1.37266,-10.2839,6.17005,35.0686,-1.68746,10.2507,4.6458,34.5764,-1.37338,-4.68066,-7.79642,-35.9252,1.62756,4.62656,-6.45477,-35.3013,1.38592,0.145786,0.763917,-1.71823,-0.14637,0.768653,-1.71375,0.0652485,-0.753974,1.72564,-0.0655043,-0.761017,1.72289,0.120738,0.770421,-1.63388,-0.121012,0.773576,-1.63092,0.0539436,-0.765445,1.64008,-0.054014,-0.770333,1.63809,0.836415,0.67841,-0.801188,-0.686332,0,0,0,0,
-10.5184,5.58664,35.5363,-1.29116,10.5974,4.91462,34.5287,-1.20096,-4.72716,-7.83894,-35.7248,1.33064,4.83027,-6.63534,-35.2623,1.21245,-10.4803,5.59496,35.5121,-1.3132,10.523,4.94823,34.4067,-1.20499,-4.7115,-7.8253,-35.7068,1.3492,4.79926,-6.6182,-35.2426,1.21904,0.145873,0.762882,-1.71873,-0.146422,0.767722,-1.71417,0.0652905,-0.752931,1.72611,-0.0655294,-0.760105,1.7233,0.120047,0.770507,-1.63352,-0.120319,0.773643,-1.63058,0.053635,-0.76556,1.63969,-0.053705,-0.770419,1.6377,0.645581,0.600479,-0.665321,-0.606227,0,0,0,0,
-10.7532,5.37335,35.6645,-1.01263,10.9032,5.08112,34.5325,-1.05785,-4.80328,-8.01418,-35.6643,1.16956,4.9514,-6.82955,-35.0064,1.03309,-10.7083,5.3743,35.6587,-1.03344,10.8547,5.06342,34.5243,-1.07093,-4.78286,-7.99073,-35.6495,1.17945,4.92263,-6.85127,-34.9465,1.04871,0.145932,0.762122,-1.71925,-0.146487,0.766879,-1.71452,0.0653027,-0.752006,1.72645,-0.0655642,-0.75925,1.72357,0.119356,0.770592,-1.63316,-0.119627,0.773711,-1.63024,0.0533264,-0.765674,1.63929,-0.053396,-0.770506,1.63732,0.506314,0.528923,-0.584779,-0.516543,0,0,0,0,
-10.9896,5.402,35.5619,-0.800231,11.1762,5.19725,34.4667,-0.88601,-4.92732,-8.27562,-35.5007,1.03879,5.05991,-6.77044,-35.223,0.875846,-10.9361,5.38953,35.5473,-0.81026,11.1224,5.18254,34.4705,-0.899017,-4.90336,-8.25931,-35.4824,1.05208,5.03737,-6.76238,-35.2008,0.88271,0.145966,0.761441,-1.71963,-0.146541,0.766059,-1.7148,0.0653082,-0.751082,1.72667,-0.0655948,-0.758469,1.72379,0.118665,0.770678,-1.6328,-0.118935,0.773779,-1.62989,0.0530178,-0.765788,1.63889,-0.053087,-0.770592,1.63693,0.400115,0.443005,-0.519393,-0.437923,0,0,0,0,
-11.2307,5.57176,35.4268,-0.659151,11.4257,5.37751,34.2606,-0.732104,-5.06552,-7.83022,-35.6814,0.747163,5.15807,-6.90584,-35.1478,0.751788,-11.1785,5.5536,35.4192,-0.666986,11.3692,5.35859,34.2591,-0.743732,-5.04153,-7.84279,-35.6502,0.758721,5.13208,-6.88878,-35.1346,0.761781,0.145983,0.760825,-1.71987,-0.146582,0.765301,-1.71491,0.0653135,-0.750351,1.72681,-0.0656086,-0.757788,1.72391,0.117975,0.770764,-1.63244,-0.118243,0.773846,-1.62955,0.0527091,-0.765902,1.6385,-0.052778,-0.770678,1.63655,0.329576,0.366052,-0.373582,-0.375894,0,0,0,0,
-11.4447,5.79709,35.2387,-0.554283,11.7032,5.61166,34.0749,-0.631488,-5.15433,-7.77095,-35.6484,0.578262,5.29877,-7.12548,-34.9937,0.658671,-11.3921,5.77567,35.2331,-0.56346,11.6479,5.58986,34.0704,-0.629699,-5.13205,-7.76047,-35.6346,0.583429,5.27316,-7.10595,-34.982,0.669766,0.145981,0.760237,-1.71996,-0.146613,0.764584,-1.71489,0.0653156,-0.749822,1.7269,-0.065621,-0.757147,1.72393,0.117284,0.770849,-1.63208,-0.11755,0.773914,-1.6292,0.0524005,-0.766016,1.6381,-0.052469,-0.770764,1.63616,0.277141,0.315744,-0.289131,-0.329335,0,0,0,0,
-11.6817,6.01936,35.0661,-0.473559,11.9575,5.84618,33.9069,-0.539359,-5.24816,-7.87371,-35.5325,0.467626,5.427,-7.35315,-34.8371,0.582587,-11.6306,6.00057,35.059,-0.478909,11.9032,5.82699,33.8991,-0.543458,-5.22576,-7.85804,-35.5202,0.476874,5.40269,-7.33223,-34.8314,0.588826,0.145962,0.759699,-1.71993,-0.146637,0.763936,-1.71477,0.0653064,-0.749393,1.7269,-0.0656345,-0.756567,1.72383,0.116593,0.770935,-1.63172,-0.116858,0.773981,-1.62886,0.0520919,-0.76613,1.63771,-0.05216,-0.77085,1.63578,0.23678,0.269679,-0.233813,-0.291294,0,0,0,0,
-11.9146,6.27101,34.8466,-0.394566,12.2141,6.10839,33.7124,-0.460526,-5.32642,-8.08593,-35.2208,0.372961,5.55924,-7.60175,-34.6382,0.511459,-11.8582,6.25169,34.8358,-0.399059,12.1628,6.08749,33.7067,-0.46884,-5.30278,-8.06416,-35.2256,0.380875,5.53672,-7.58254,-34.6321,0.51364,0.145931,0.759095,-1.71978,-0.146648,0.763216,-1.71453,0.0652876,-0.748945,1.7268,-0.0656491,-0.755921,1.72362,0.115903,0.771021,-1.63136,-0.116166,0.774049,-1.62852,0.0517833,-0.766245,1.63731,-0.051851,-0.770937,1.63539,0.197283,0.230263,-0.18648,-0.25573,0,0,0,0,
-12.1671,6.48757,34.6596,-0.331436,12.4538,6.33731,33.5464,-0.398244,-5.42813,-8.24523,-35.0796,0.30397,5.67782,-7.82111,-34.4771,0.454264,-12.1125,6.46857,34.6516,-0.33355,12.4011,6.31739,33.5422,-0.397672,-5.40778,-8.21117,-35.1127,0.310878,5.6537,-7.80323,-34.4683,0.456604,0.145896,0.758541,-1.71954,-0.146645,0.762561,-1.71423,0.065263,-0.74854,1.7266,-0.0656594,-0.755332,1.72334,0.115212,0.771107,-1.631,-0.115473,0.774117,-1.62817,0.0514747,-0.766359,1.63691,-0.051542,-0.771023,1.63501,0.165718,0.199122,-0.151985,-0.227132,0,0,0,0,
